,name,enc
0,asdf,"[-0.05993685498833656, 0.07248948514461517, 0.0005187727510929108, -0.0391189381480217, -0.03758503869175911, -0.028010550886392593, 0.013143640011548996, -0.1549106389284134, 0.18691274523735046, -0.08999788761138916, 0.246954545378685, 0.04770033434033394, -0.28675922751426697, -0.09188160300254822, -0.02819409966468811, 0.08666528016328812, -0.14999547600746155, -0.19357067346572876, -0.06937523186206818, -0.026958690956234932, 0.025483813136816025, 0.026500560343265533, 0.05861816182732582, 0.05918586254119873, -0.14956094324588776, -0.376507431268692, -0.14985854923725128, -0.10465551912784576, -0.028942469507455826, -0.10149485617876053, -0.031031174585223198, 0.07253742218017578, -0.1664503663778305, -0.04811200499534607, -0.0016077561303973198, 0.018025249242782593, -0.028449660167098045, -0.03292742744088173, 0.22141215205192566, 0.0891479030251503, -0.2030494064092636, -0.023376494646072388, 0.011601022444665432, 0.2958108186721802, 0.2166312336921692, 0.025471333414316177, 0.02661997452378273, -0.0739956870675087, 0.032187920063734055, -0.21278488636016846, 0.09816235303878784, 0.1313217580318451, 0.13193200528621674, 0.04485528916120529, 0.07176410406827927, -0.15406639873981476, -0.0493415929377079, 0.09301591664552689, -0.21754896640777588, 0.03643909469246864, 0.0030306363478302956, -0.14305222034454346, -0.026644151657819748, -0.026532236486673355, 0.2051815390586853, 0.12272103130817413, -0.12394092231988907, -0.06322099268436432, 0.22780944406986237, -0.1529436558485031, -0.07478409260511398, 0.048650357872247696, -0.12310142070055008, -0.20428341627120972, -0.31048882007598877, 0.05900590866804123, 0.4474303722381592, 0.11536063998937607, -0.15288597345352173, 0.021056849509477615, -0.0656932145357132, -0.030147410929203033, 0.05949857831001282, 0.07640234380960464, -0.10130973160266876, -0.007467035204172134, -0.0976410061120987, 0.07581576704978943, 0.15733957290649414, 0.03207755833864212, -0.11884471774101257, 0.17475174367427826, -0.06452834606170654, 0.059080179780721664, 0.12788821756839752, 0.12954798340797424, -0.03901541605591774, 0.016051847487688065, -0.13692599534988403, 0.04866218939423561, 0.018751896917819977, -0.09635306149721146, -0.009914247319102287, 0.10263592004776001, -0.09436867386102676, 0.08640742301940918, 0.03758690133690834, -0.08075517416000366, -0.030902013182640076, 0.0025419488083571196, -0.10568183660507202, -0.05236511677503586, 0.10872853547334671, -0.3434552848339081, 0.2223661243915558, 0.15646570920944214, -0.02832530066370964, 0.18199996650218964, -0.007494782097637653, 0.04987392947077751, -0.037827104330062866, -0.09841254353523254, -0.17771728336811066, -0.08590817451477051, 0.08869802206754684, 0.028667854145169258, 0.12592504918575287, 0.03023925982415676]"
1,asdf,"[-0.021267570555210114, 0.03278130665421486, 0.0043698945082724094, -0.05641124024987221, -0.02012568525969982, -0.026576440781354904, 0.01171756163239479, -0.1254936009645462, 0.20545001327991486, -0.12517713010311127, 0.2511165738105774, 0.03593869507312775, -0.26765650510787964, -0.08452589809894562, -0.04509732499718666, 0.05517187342047691, -0.165816992521286, -0.18628478050231934, -0.0674111470580101, -0.06041378527879715, 0.051505059003829956, 0.027520030736923218, -0.00022299418924376369, 0.04064083844423294, -0.18088841438293457, -0.33824092149734497, -0.15090389549732208, -0.09194668382406235, -0.00433703139424324, -0.0924704521894455, 0.024066057056188583, 0.1309105008840561, -0.1907973289489746, -0.041526004672050476, -0.012111028656363487, 0.022410275414586067, 0.011937811970710754, 0.0046761054545640945, 0.19747385382652283, 0.053105227649211884, -0.17461055517196655, -0.008876366540789604, 0.03736913576722145, 0.2745091915130615, 0.20339849591255188, 0.03077329695224762, -0.013324318453669548, -0.05647963285446167, 0.03760958090424538, -0.21792788803577423, 0.08684441447257996, 0.17472824454307556, 0.10379299521446228, 0.0816638246178627, 0.10123918950557709, -0.1422690898180008, -0.02208014391362667, 0.08837581425905228, -0.2034381926059723, 0.04313043877482414, -0.0008726650848984718, -0.10897445678710938, -0.010604944080114365, -0.02214954048395157, 0.13612401485443115, 0.06471002101898193, -0.09129154682159424, -0.09163011610507965, 0.22827567160129547, -0.1856185793876648, -0.07520006597042084, 0.07724286615848541, -0.11847773939371109, -0.18526950478553772, -0.30841317772865295, 0.05511685460805893, 0.4485187530517578, 0.16020426154136658, -0.12593324482440948, 0.08561694622039795, -0.0569424033164978, -0.06100635975599289, 0.08314716815948486, 0.0028329219203442335, -0.0838075578212738, -0.0056351106613874435, -0.0893128365278244, 0.09609154611825943, 0.15522436797618866, 0.07360851764678955, -0.09673049300909042, 0.18626399338245392, -0.06559163331985474, 0.03275740146636963, 0.12587012350559235, 0.1002451479434967, -0.033454764634370804, 0.009807273745536804, -0.15764550864696503, 0.039906252175569534, 0.021900733932852745, -0.09122420102357864, -0.01851893961429596, 0.10605927556753159, -0.09326469153165817, 0.10672792047262192, 0.0324535071849823, -0.06074390560388565, -0.039012059569358826, 0.05879690870642662, -0.12798407673835754, -0.03434865176677704, 0.13199734687805176, -0.3338828980922699, 0.20312322676181793, 0.13226786255836487, -0.027210287749767303, 0.1572105437517166, 0.010745588690042496, 0.06775413453578949, -0.05447682365775108, -0.11551991105079651, -0.17691035568714142, -0.11364322155714035, 0.05030803382396698, 0.01596326008439064, 0.1125086173415184, 0.028827670961618423]"
2,asdf,"[-0.019924113526940346, 0.09357384592294693, -0.017263641580939293, -0.023125359788537025, -0.02127884142100811, -0.052736733108758926, 0.008633916266262531, -0.0950213149189949, 0.16176031529903412, -0.05200328305363655, 0.25081467628479004, -0.008043329231441021, -0.25305086374282837, -0.10491888225078583, 0.006573764607310295, 0.04641826078295708, -0.19332630932331085, -0.17247286438941956, -0.06417041271924973, -0.049150750041007996, 0.07615379989147186, 0.01850835047662258, 0.06097788363695145, 0.02126656286418438, -0.1862780898809433, -0.3470607101917267, -0.14565891027450562, -0.07322220504283905, 0.05362342298030853, -0.11627543717622757, 0.02020369842648506, 0.06999784708023071, -0.21505211293697357, -0.07376401126384735, 0.018201377242803574, 0.05907154083251953, -0.013102331198751926, 0.010460574179887772, 0.19732919335365295, 0.006655579432845116, -0.16130097210407257, -0.0006742943078279495, 0.029229380190372467, 0.2920364439487457, 0.20393237471580505, 0.07408180087804794, -0.02462632581591606, -0.02150304988026619, 0.0033980084117501974, -0.2322465181350708, 0.12466169148683548, 0.14873169362545013, 0.10607746243476868, 0.06552796065807343, 0.08896666765213013, -0.1412983387708664, -0.04952418804168701, 0.11746951937675476, -0.17685484886169434, 0.05389535054564476, 0.01629708521068096, -0.10215406119823456, -0.033336713910102844, -0.05022403225302696, 0.16972410678863525, 0.059406429529190063, -0.1170601174235344, -0.07980545610189438, 0.19200152158737183, -0.1613767445087433, -0.05551917850971222, 0.09938263893127441, -0.08212291449308395, -0.18145158886909485, -0.3063919246196747, 0.05180345103144646, 0.443970263004303, 0.10778196901082993, -0.1751331090927124, 0.03787732496857643, -0.0009488444775342941, -0.011503503657877445, 0.08926577121019363, 0.024145500734448433, -0.0940248891711235, 0.030456028878688812, -0.14134594798088074, 0.10219692438840866, 0.1442515254020691, 0.02393926866352558, -0.12506555020809174, 0.17292247712612152, -0.06199175864458084, 0.09433170408010483, 0.13587430119514465, 0.09613188356161118, 0.00014529749751091003, -0.012896768748760223, -0.16964513063430786, 0.05007108673453331, 0.07017509639263153, -0.10394749045372009, -0.08246666193008423, 0.11051376163959503, -0.04050646349787712, 0.11159537732601166, 0.05298902839422226, -0.04543958231806755, -0.05145043879747391, 0.04052846133708954, -0.11214476823806763, -0.037783846259117126, 0.13428904116153717, -0.3599816560745239, 0.22070810198783875, 0.17063839733600616, -0.07075794786214828, 0.155155211687088, -0.0035725263878703117, 0.06569446623325348, -0.02326408214867115, -0.0793532282114029, -0.19131137430667877, -0.11381104588508606, 0.03342185914516449, 0.00206929724663496, 0.11002323776483536, 0.024185335263609886]"
3,asdf,"[-0.05427452176809311, 0.11382543295621872, -0.011362520046532154, -0.02740340679883957, -0.012546968646347523, -0.052144914865493774, 0.042739611119031906, -0.09170782566070557, 0.18911011517047882, -0.05812947452068329, 0.2519739270210266, -0.009723266586661339, -0.25702548027038574, -0.09390776604413986, -0.01512802392244339, 0.07031546533107758, -0.16238655149936676, -0.2068828046321869, -0.03394284099340439, -0.05760674178600311, 0.0824645534157753, -0.02311907708644867, -0.0004893033765256405, 0.048473186790943146, -0.18178106844425201, -0.31567925214767456, -0.12409377098083496, -0.09053929150104523, 0.026546195149421692, -0.12183848768472672, 0.02984234318137169, 0.07334142923355103, -0.18607638776302338, -0.052293453365564346, -0.003817310556769371, 0.06366537511348724, -0.00014457362703979015, 0.04303213953971863, 0.21705737709999084, 0.0013570403680205345, -0.1838645488023758, -0.02301087975502014, 0.04399240016937256, 0.30416691303253174, 0.1868492215871811, 0.05944111570715904, -0.02450420707464218, -0.031009932979941368, 0.003391965525224805, -0.2044561803340912, 0.13585078716278076, 0.14508232474327087, 0.12270861864089966, 0.06922320276498795, 0.09373819828033447, -0.1533011794090271, -0.05395171791315079, 0.1065596342086792, -0.20549291372299194, 0.058265794068574905, 0.030210021883249283, -0.13083621859550476, -0.034339554607868195, -0.03887476772069931, 0.19864574074745178, 0.07995676249265671, -0.10500279068946838, -0.08439064770936966, 0.23409299552440643, -0.16434842348098755, -0.07182994484901428, 0.07611224055290222, -0.06901848316192627, -0.1700594276189804, -0.3112022876739502, 0.08714821934700012, 0.44087475538253784, 0.13342776894569397, -0.14943251013755798, 0.08918718993663788, -0.002430375898256898, -0.021349893882870674, 0.10605388879776001, 0.03341571241617203, -0.10579444468021393, 0.03328089416027069, -0.12754563987255096, 0.08418507874011993, 0.11451207101345062, 0.050684958696365356, -0.11265614628791809, 0.13626427948474884, -0.08413714170455933, 0.07648840546607971, 0.12366140633821487, 0.08119641989469528, -0.02017609402537346, 0.017498742789030075, -0.16116133332252502, 0.023220550268888474, 0.05351726710796356, -0.09319819509983063, -0.029490318149328232, 0.1082567423582077, -0.05275430157780647, 0.0721013993024826, 0.04709503427147865, -0.027902014553546906, -0.06752245128154755, 0.0952354148030281, -0.10715051740407944, -0.04994317516684532, 0.11616712808609009, -0.3498260974884033, 0.23323139548301697, 0.1228233054280281, -0.07898648083209991, 0.14377713203430176, 0.035811856389045715, 0.07721881568431854, 0.004483658820390701, -0.09617586433887482, -0.18585266172885895, -0.07037081569433212, 0.05800500139594078, 0.006576640531420708, 0.14923293888568878, 0.05774674192070961]"
4,asdf,"[-0.07155357301235199, 0.08719433844089508, -0.0005919337272644043, -0.056976284831762314, 0.003844961291179061, -0.061168961226940155, 0.02486344799399376, -0.09590544551610947, 0.17779138684272766, -0.0580439530313015, 0.2556978762149811, 0.013689040206372738, -0.23588761687278748, -0.10989266633987427, -0.030319029465317726, 0.07040256261825562, -0.12945115566253662, -0.2047424465417862, -0.06307904422283173, -0.057059913873672485, 0.05988725274801254, -0.013655958697199821, -0.0022705355659127235, 0.05288328975439072, -0.1834915578365326, -0.31791338324546814, -0.11621664464473724, -0.07805567234754562, 0.02607746422290802, -0.09697244316339493, -0.010360202752053738, 0.06521926075220108, -0.2143663465976715, -0.07884297519922256, 0.020485222339630127, 0.10448665916919708, -0.003501494415104389, 0.03279539942741394, 0.18028578162193298, 0.011877459473907948, -0.1570349931716919, -0.003559696488082409, 0.020971503108739853, 0.2912595272064209, 0.20606330037117004, 0.07134447246789932, -0.014923663809895515, -0.03456350788474083, -0.0023491871543228626, -0.23868624866008759, 0.1387571096420288, 0.1304149329662323, 0.09976968169212341, 0.05433959141373634, 0.09910528361797333, -0.153305321931839, -0.03913837671279907, 0.1241096556186676, -0.20125575363636017, 0.05990147963166237, 0.013063400983810425, -0.1315828263759613, -0.05364833027124405, -0.05285670608282089, 0.18382389843463898, 0.0946260616183281, -0.1124807670712471, -0.06904874742031097, 0.24483531713485718, -0.17095480859279633, -0.04874071851372719, 0.02971024625003338, -0.05155695229768753, -0.18219518661499023, -0.3024498224258423, 0.10710863769054413, 0.408986359834671, 0.18135827779769897, -0.18670201301574707, 0.10502301156520844, 0.0009992665145546198, 0.01482576783746481, 0.11220962554216385, -0.004732225090265274, -0.10631857812404633, 0.04550016298890114, -0.12647229433059692, 0.053137511014938354, 0.13133040070533752, 0.07996082305908203, -0.0901816263794899, 0.1582840383052826, -0.09336186945438385, 0.06895169615745544, 0.1575862020254135, 0.06518720090389252, -0.02669227309525013, -0.004808946046978235, -0.1852002590894699, 0.03390137106180191, 0.054671015590429306, -0.10316768288612366, -0.029972383752465248, 0.10636244714260101, -0.055747583508491516, 0.07898209244012833, 0.016953416168689728, -0.03550402820110321, -0.056298673152923584, 0.06889639049768448, -0.11218002438545227, -0.05798685550689697, 0.12206632643938065, -0.31611377000808716, 0.24550287425518036, 0.1498178392648697, -0.04926813766360283, 0.1638495922088623, 0.07754264771938324, 0.05743701010942459, 0.01678861305117607, -0.0729813426733017, -0.18229196965694427, -0.09412166476249695, 0.061746690422296524, -0.024713184684515, 0.15060287714004517, 0.05895262211561203]"
5,asdf,"[-0.10265170782804489, 0.09504163265228271, 0.0009229099377989769, -0.03197579085826874, -0.010449170134961605, -0.060292139649391174, 3.423541784286499e-05, -0.08749863505363464, 0.16263578832149506, -0.05426301807165146, 0.2417813539505005, 0.0017167953774333, -0.2660250663757324, -0.12174110859632492, -0.024003375321626663, 0.09560438990592957, -0.1512523740530014, -0.20567280054092407, -0.07761216908693314, -0.07978122681379318, 0.054317787289619446, -0.024122122675180435, -0.022486502304673195, 0.05289311334490776, -0.13990187644958496, -0.3319410979747772, -0.11551927030086517, -0.05412048473954201, 0.013260168954730034, -0.09247735142707825, -0.0010038111358880997, 0.0744815468788147, -0.19774100184440613, -0.0738324522972107, 0.026271354407072067, 0.10367266833782196, 0.03958433121442795, 0.04777267575263977, 0.16034412384033203, 0.0008624177426099777, -0.16535328328609467, -0.012945882976055145, 0.0672103762626648, 0.2854849696159363, 0.19128160178661346, 0.10982503741979599, -0.02936641499400139, -0.034797921776771545, 0.020857924595475197, -0.22958751022815704, 0.13448908925056458, 0.16965845227241516, 0.14858771860599518, 0.057278312742710114, 0.08991051465272903, -0.17625238001346588, -0.022095385938882828, 0.09485496580600739, -0.20209041237831116, 0.03721562772989273, 0.03218483924865723, -0.11338454484939575, -0.06254618614912033, -0.03161200135946274, 0.19143757224082947, 0.11367713660001755, -0.1238722875714302, -0.08263963460922241, 0.25390347838401794, -0.15329495072364807, -0.040879957377910614, 0.052095927298069, -0.06601466983556747, -0.17141738533973694, -0.3052331507205963, 0.08688649535179138, 0.459658145904541, 0.15554900467395782, -0.19186720252037048, 0.06275390088558197, -0.04431283846497536, 0.0073284003883600235, 0.09243177622556686, -0.008205076679587364, -0.13436830043792725, 0.012080894783139229, -0.15053901076316833, 0.05147160589694977, 0.12005232274532318, 0.09234866499900818, -0.08934077620506287, 0.1449129283428192, -0.033445652574300766, 0.06263889372348785, 0.1328791379928589, 0.10735806822776794, -0.024857904762029648, -0.01933087408542633, -0.17894725501537323, 0.0002363184466958046, 0.05684585124254227, -0.100203737616539, -0.03225625678896904, 0.0890110656619072, -0.06823918968439102, 0.09333853423595428, 0.05184512585401535, -0.013223260641098022, -0.059681832790374756, 0.1024237796664238, -0.09590563178062439, -0.0522649884223938, 0.10808657109737396, -0.321327805519104, 0.2219635546207428, 0.1459573358297348, -0.05693534016609192, 0.1626998484134674, 0.05353648215532303, 0.10416368395090103, -0.004073377698659897, -0.12451566755771637, -0.14912199974060059, -0.12914474308490753, 0.03161970153450966, -0.013088392093777657, 0.13496513664722443, 0.07526624947786331]"
6,asdf,"[-0.09277861565351486, 0.0966133177280426, 0.012362867593765259, -0.02851223573088646, -0.011108695529401302, -0.0380176305770874, 0.0012664999812841415, -0.09295900911092758, 0.17308537662029266, -0.08675377070903778, 0.21845494210720062, -0.010893257334828377, -0.28012335300445557, -0.10144597291946411, -0.019979465752840042, 0.08494466543197632, -0.1513085961341858, -0.21531517803668976, -0.07080945372581482, -0.050687238574028015, 0.06661197543144226, -0.023349454626441002, -0.024416912347078323, 0.042015500366687775, -0.14353878796100616, -0.35536378622055054, -0.12439461052417755, -0.04880855977535248, 0.004960225895047188, -0.0694909542798996, 0.0051658013835549355, 0.06020625680685043, -0.18152473866939545, -0.05000891536474228, 0.005715319886803627, 0.11024846881628036, 0.027023382484912872, 0.03074328601360321, 0.16971997916698456, -0.017610475420951843, -0.17936749756336212, -0.02413419634103775, 0.039262525737285614, 0.2793371081352234, 0.15265317261219025, 0.09295636415481567, -0.029687881469726562, -0.04112660139799118, 0.021578915417194366, -0.20780260860919952, 0.13058853149414062, 0.17026348412036896, 0.1333431899547577, 0.07075116783380508, 0.0921967476606369, -0.17909544706344604, -0.022652730345726013, 0.107894167304039, -0.2193915992975235, 0.03045658767223358, -0.010527306236326694, -0.11834871023893356, -0.04309506341814995, -0.04420734569430351, 0.1991555094718933, 0.13820776343345642, -0.10730986297130585, -0.0932595431804657, 0.26384758949279785, -0.14709976315498352, -0.03760174289345741, 0.03143123537302017, -0.0792446881532669, -0.17318964004516602, -0.2831680476665497, 0.07261659950017929, 0.4531462490558624, 0.13465116918087006, -0.19420072436332703, 0.07134408503770828, -0.018463091924786568, -0.01822325773537159, 0.10787034034729004, 0.019283605739474297, -0.12341365218162537, 0.036924805492162704, -0.1302003711462021, 0.07066033035516739, 0.12362165749073029, 0.06104644387960434, -0.1038256511092186, 0.13060924410820007, -0.03947056084871292, 0.06164351850748062, 0.15164503455162048, 0.07644018530845642, -0.018629034981131554, 0.007345577701926231, -0.19542445242404938, 0.012270703911781311, 0.07122086733579636, -0.10120344161987305, -0.034579455852508545, 0.06931191682815552, -0.04667789489030838, 0.09296109527349472, 0.08059602230787277, -0.025900453329086304, -0.05097507685422897, 0.09726779162883759, -0.12288262695074081, -0.059101402759552, 0.13494598865509033, -0.3205103278160095, 0.2498430758714676, 0.12745614349842072, -0.06110411137342453, 0.1865634322166443, 0.04585019126534462, 0.1092439740896225, 0.006821667775511742, -0.11131784319877625, -0.1553748995065689, -0.11117143929004669, 0.06263124197721481, 0.010225162841379642, 0.14400909841060638, 0.07401025295257568]"
7,asdf,"[-0.08883409202098846, 0.08835909515619278, 0.02440742403268814, -0.0415397509932518, -0.012855146080255508, -0.03809976205229759, 0.00012829899787902832, -0.09790337830781937, 0.17851610481739044, -0.07092012465000153, 0.2558426856994629, -0.011469216085970402, -0.27416765689849854, -0.09265559166669846, -0.026681039482355118, 0.10856682062149048, -0.14401192963123322, -0.19888809323310852, -0.05744583159685135, -0.0363973006606102, 0.06708455830812454, -0.014781765639781952, -0.028516646474599838, 0.05758238583803177, -0.16224318742752075, -0.3464471399784088, -0.12133726477622986, -0.06939931958913803, -0.015851616859436035, -0.07977824658155441, 0.00047655031085014343, 0.07262717187404633, -0.19012190401554108, -0.051297664642333984, 0.018437974154949188, 0.10309483110904694, 0.028042439371347427, 0.03068144991993904, 0.17720545828342438, -0.005738338455557823, -0.18661917746067047, -0.024890111759305, 0.04875786229968071, 0.2640615403652191, 0.15316928923130035, 0.09981288760900497, -0.012739446014165878, -0.0189454797655344, 0.02337133325636387, -0.23467124998569489, 0.14557041227817535, 0.1404835730791092, 0.14084120094776154, 0.07360955327749252, 0.08794143795967102, -0.18248093128204346, -0.02660922333598137, 0.09841383993625641, -0.21311625838279724, 0.04609176889061928, 0.02338903769850731, -0.11417251080274582, -0.04200220853090286, -0.03273189440369606, 0.19541878998279572, 0.12878696620464325, -0.11510872095823288, -0.08179903030395508, 0.23956610262393951, -0.15102581679821014, -0.049617670476436615, 0.04826181009411812, -0.08324548602104187, -0.18151196837425232, -0.30880865454673767, 0.07501577585935593, 0.443090558052063, 0.15650761127471924, -0.19844433665275574, 0.052977945655584335, -0.01733480580151081, 0.013813098892569542, 0.1036469116806984, -0.012088797055184841, -0.09619025141000748, 0.04037214070558548, -0.1335720419883728, 0.05326950177550316, 0.1465781331062317, 0.06746756285429001, -0.10085747390985489, 0.16750362515449524, -0.05419398099184036, 0.06644872575998306, 0.12475728988647461, 0.08848413079977036, 0.0074785687029361725, -0.014444506727159023, -0.16455663740634918, 0.025085490196943283, 0.06280706822872162, -0.06943286210298538, -0.031555015593767166, 0.08118173480033875, -0.08166645467281342, 0.09547532349824905, 0.04491295665502548, -0.010466288775205612, -0.057436760514974594, 0.11376083642244339, -0.1356959193944931, -0.049591489136219025, 0.13415823876857758, -0.3197379410266876, 0.23698744177818298, 0.13173867762088776, -0.06597890704870224, 0.1591428518295288, 0.04622272029519081, 0.08650270104408264, 0.0003350870683789253, -0.1219332292675972, -0.1634182631969452, -0.13080990314483643, 0.07401636242866516, -0.002454148605465889, 0.15352000296115875, 0.075627401471138]"
8,asdf,"[-0.06925120204687119, 0.08245716989040375, 0.004895331803709269, -0.012581299990415573, -0.007615709211677313, -0.03341389819979668, 0.01634790748357773, -0.0889987200498581, 0.15897990763187408, -0.06572984158992767, 0.2165490984916687, 0.04235079884529114, -0.23784776031970978, -0.10564159601926804, -0.005204632878303528, 0.08311241865158081, -0.13714559376239777, -0.20563599467277527, -0.08415045589208603, -0.06958313286304474, 0.06361711025238037, 0.028003200888633728, -0.01927562616765499, 0.01721976511180401, -0.18679048120975494, -0.3384459614753723, -0.1376911848783493, -0.08363430947065353, -0.00859636440873146, -0.10506156831979752, 0.05969579145312309, 0.02185053378343582, -0.19940225780010223, -0.05731167644262314, 0.003528784029185772, 0.06755535304546356, -0.03854496031999588, -0.004437978845089674, 0.23887167870998383, 0.05452042073011398, -0.18691566586494446, -0.0275387242436409, 0.07059477269649506, 0.3228878080844879, 0.18253624439239502, 0.03205059841275215, -0.0136264618486166, -0.026066867634654045, 0.03778712451457977, -0.23353080451488495, 0.1294286847114563, 0.13717740774154663, 0.1368178427219391, 0.11155879497528076, 0.11258140206336975, -0.15249451994895935, -0.0023118536919355392, 0.1142042726278305, -0.23706580698490143, 0.05455195531249046, -0.010710795409977436, -0.11403973400592804, -0.024332931265234947, -0.01705057919025421, 0.18500640988349915, 0.08801442384719849, -0.08827900886535645, -0.10142360627651215, 0.20769786834716797, -0.17447307705879211, -0.05237118527293205, 0.09540992230176926, -0.07747453451156616, -0.20484238862991333, -0.348190575838089, 0.07014097273349762, 0.4488997161388397, 0.13881002366542816, -0.17187273502349854, 0.04133976995944977, -0.011463731527328491, -0.04839211329817772, 0.145552858710289, 0.02557601034641266, -0.06214830279350281, 0.017600499093532562, -0.10434490442276001, 0.08619032055139542, 0.17321571707725525, 0.05150775611400604, -0.13202381134033203, 0.14434023201465607, -0.037872809916734695, 0.046996526420116425, 0.122428297996521, 0.08479809761047363, -0.01375653874129057, 0.010921673849225044, -0.1589018851518631, 0.041644055396318436, 0.03224550187587738, -0.07615847885608673, -0.01905105635523796, 0.08347205817699432, -0.0658356100320816, 0.10808008909225464, 0.08778715878725052, -0.05637246370315552, -0.0805663987994194, 0.049766600131988525, -0.17077964544296265, -0.039878055453300476, 0.14860907196998596, -0.33656254410743713, 0.2440813183784485, 0.15143056213855743, -0.0941823422908783, 0.1578591912984848, 0.03727906942367554, 0.058180153369903564, -0.03730635717511177, -0.10306327044963837, -0.18658284842967987, -0.06628452241420746, 0.04307246580719948, 0.014695667661726475, 0.14214034378528595, 0.045895740389823914]"
